"Enabled","Activé"
"Layout style","Style de mise en page"
"Show faces","Montrer l'apparence"
"Width","Largeur"
"Verb on the button","Texte à afficher"
"Color scheme","Plan de couleur"
"Light","Clair"
"Dark","Foncé"
"Like","Aime"
"Recommend","Recommande"
"Comments box enabled","Commentaires activés"
"FaceBook Application Id and Key","Id de l'application"
"FaceBook Application Secret Key","Clé de l'application"
"Button Language","Button Language"
"Create application","Créer l'application"
"Specifies whether to include a share button beside the Like button.", "Specifies whether to include a share button beside the Like button."
"See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details.", "See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details."
"Specifies whether to display profile photos below the button (standard layout only).", "Specifies whether to display profile photos below the button (standard layout only)."
"The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details.", "The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details."
"The color scheme used by the plugin for any text outside of the button itself.", "The color scheme used by the plugin for any text outside of the button itself."
